T
N,2275,8,6,12
73377,8,4
47542,8,4
15463,8,10
11486,8,2
47831,8,9
57703,8,3
4159,8,8
64646,8,10
61477,8,7
81189,8,4
71271,8,7
54975,8,9
P,8,6,2283,2271.08
P,8,6,2174,1711.23
P,8,6,635,2316.8
N,1780,8,6,19
15807,8,8
62749,8,9
93647,8,7
47846,8,5
89610,8,7
88405,8,8
38231,8,5
4671,8,10
69151,8,9
23761,8,8
4006,8,9
34975,8,2
77519,8,2
61143,8,8
48658,8,4
1607,8,3
73406,8,9
4149,8,10
73383,8,3
N,2307,8,6,10
79461,8,2
80551,8,1
47847,8,9
32151,8,6
32447,8,7
81301,8,10
36231,8,9
79967,8,4
84899,8,3
30362,8,3
N,2816,8,6,19
60247,8,5
30918,8,3
5683,8,3
73295,8,10
24223,8,10
24229,8,7
88615,8,10
89703,8,6
71039,8,7
22246,8,2
13733,8,4
39846,8,3
15967,8,10
44640,8,3
85735,8,8
69254,8,3
23754,8,4
11191,8,10
61863,8,6
N,299,8,6,11
73397,8,3
96869,8,9
89239,8,8
47702,8,5
15958,8,2
5574,8,4
88551,8,8
52933,8,8
64231,8,7
40610,8,6
32486,8,3
N,326,8,6,16
8935,8,7
47639,8,2
19135,8,4
5123,8,10
29861,8,4
46785,8,2
61601,5,2
15526,8,9
97367,8,1
18837,8,3
9255,8,1
52945,8,3
81623,8,2
71911,8,4
56994,8,10
56551,8,3
N,865,8,6,8
79588,8,10
13190,8,6
14462,8,2
38903,8,6
30271,8,7
24167,8,4
40319,8,8
63206,8,3
N,1275,8,6,16
97830,8,2
15814,8,6
97765,8,4
32355,8,6
88743,8,5
11463,8,3
15958,8,4
79302,8,8
16103,8,5
77932,8,9
60612,8,9
91673,8,5
89822,8,2
3895,8,10
89719,8,2
79518,8,8
N,1667,8,6,17
28383,8,3
52871,8,1
89666,8,1
40659,8,7
14039,8,7
40388,8,5
4015,8,3
64735,8,8
57063,8,1
68023,8,4
64614,8,9
54973,8,9
40631,8,10
97859,8,1
1979,8,10
23463,8,4
93511,8,1
N,1283,8,6,10
95907,8,1
91751,4,10
22247,8,1
56451,8,7
163,8,2
68823,8,3
73430,8,9
48279,8,3
81482,8,6
23687,8,3
N,1214,8,6,13
32359,8,2
24167,8,6
30422,8,4
14567,8,1
81121,8,1
53991,8,2
66143,8,7
64998,8,1
56807,8,10
69730,8,3
55847,8,8
85559,8,1
44775,8,5
N,259,8,6,15
21182,8,8
54467,8,2
39991,8,4
99397,8,2
24287,8,8
24802,8,10
70113,8,4
16085,8,7
10276,8,10
57057,8,4
31270,8,3
34519,8,4
72862,8,1
32215,8,1
24102,8,2
N,706,8,6,14
45205,8,8
81639,8,8
30887,8,5
89223,8,6
80543,8,10
79970,8,3
83428,8,2
22742,8,6
85031,8,10
43631,8,2
71392,8,8
60647,8,3
64167,8,8
24095,8,1
D,8,9
N,2051,8,6,18
13122,8,9
84327,8,8
96869,8,2
97937,8,6
15743,8,10
5574,8,4
56759,8,3
57309,8,2
93381,8,1
27839,8,4
77279,8,10
15462,8,7
62951,8,9
24263,8,10
89255,8,8
63710,8,4
20610,8,4
1601,8,6
N,1185,8,6,15
62614,8,6
23239,8,6
64715,8,3
10915,8,1
81533,8,8
6213,8,1
98010,8,3
64991,8,4
28209,8,6
57060,8,3
12223,8,6
29671,8,7
6214,8,1
67215,1,3
40679,8,7
N,1235,8,6,10
48827,8,6
88935,8,7
57039,8,6
14550,8,5
97985,8,1
11999,8,4
23767,8,4
4798,8,8
65249,8,4
83686,8,10
N,9,8,6,10
47831,8,1
85623,8,3
6145,8,9
63087,8,7
87783,8,10
63959,8,3
47,8,2
48867,8,1
54995,8,10
85727,8,4
N,2051,8,6,5
56898,8,4
81633,8,8
98855,8,4
28335,8,9
54929,8,4
N,322,8,6,7
61151,8,1
43237,8,7
5439,8,8
73436,8,7
39630,8,10
31201,8,1
56551,8,9
N,1246,8,6,20
61155,8,9
9574,8,10
31461,8,10
14683,8,1
52675,8,7
36455,8,10
88991,8,8
